key,value
AccountTrie.Name,account trie
TopByDepth[3].Summary.Full,6196815
TopByDepth[3].Summary.Value,17585359
TopByDepth[3].Summary.Size,1917312891
TopByDepth[4].Owner,0xfbd1592b616670c3c966b8ed9942aecdb2b25ab10837f7d1c8d1e66c10f243a8
TopByDepth[4].MaxDepth,11
TopByDepth[4].TotalNodes,38458576
TopByDepth[4].TotalSize,1616061715
TopByDepth[4].ValueNodes,16294950
TopByDepth[4].Levels[0].Short,0
TopByDepth[4].Levels[0].Full,1
TopByDepth[4].Levels[0].Value,0
TopByDepth[4].Levels[0].Size,532
TopByDepth[4].Levels[1].Short,0
TopByDepth[4].Levels[1].Full,16
TopByDepth[4].Levels[1].Value,0
TopByDepth[4].Levels[1].Size,8512
TopByDepth[4].Levels[2].Short,0
TopByDepth[4].Levels[2].Full,256
TopByDepth[4].Levels[2].Value,0
TopByDepth[4].Levels[2].Size,136192
TopByDepth[4].Levels[3].Short,0
TopByDepth[4].Levels[3].Full,4096
TopByDepth[4].Levels[3].Value,0
TopByDepth[4].Levels[3].Size,2179072
TopByDepth[4].Levels[4].Short,0
TopByDepth[4].Levels[4].Full,65536
TopByDepth[4].Levels[4].Value,0
TopByDepth[4].Levels[4].Size,34865152
TopByDepth[4].Levels[5].Short,5
TopByDepth[4].Levels[5].Full,1048571
TopByDepth[4].Levels[5].Value,0
TopByDepth[4].Levels[5].Size,354463093
TopByDepth[4].Levels[6].Short,6360174
TopByDepth[4].Levels[6].Full,4064900
TopByDepth[4].Levels[6].Value,2
TopByDepth[4].Levels[6].Size,692181714
TopByDepth[4].Levels[7].Short,9183865
TopByDepth[4].Levels[7].Full,457381
TopByDepth[4].Levels[7].Value,6169098
TopByDepth[4].Levels[7].Size,484094359
TopByDepth[4].Levels[8].Short,921186
TopByDepth[4].Levels[8].Full,19095
TopByDepth[4].Levels[8].Value,9166338
TopByDepth[4].Levels[8].Size,46301444
TopByDepth[4].Levels[9].Short,38214
TopByDepth[4].Levels[9].Full,110
TopByDepth[4].Levels[9].Value,921078
TopByDepth[4].Levels[9].Size,1820989
TopByDepth[4].Levels[10].Short,220
TopByDepth[4].Levels[10].Full,0
TopByDepth[4].Levels[10].Value,38214
TopByDepth[4].Levels[10].Size,10656
TopByDepth[4].Levels[11].Short,0
TopByDepth[4].Levels[11].Full,0
TopByDepth[4].Levels[11].Value,220
TopByDepth[4].Levels[11].Size,0
TopByDepth[4].Summary.Short,16503664
TopByDepth[4].Summary.Full,5659962
TopByDepth[4].Summary.Value,16294950
TopByDepth[4].Summary.Size,1616061715
TopByDepth[5].Owner,0x4e6f19bdf5c8f4aa5e46a382f33fbed981bd7d93c25885c5ecdabfdc102f8b67
TopByDepth[5].MaxDepth,11
TopByDepth[5].TotalNodes,37088457
TopByDepth[5].TotalSize,1295758567
TopByDepth[5].ValueNodes,15731344
TopByDepth[5].Levels[0].Short,0
TopByDepth[5].Levels[0].Full,1
TopByDepth[5].Levels[0].Value,0
TopByDepth[5].Levels[0].Size,532
TopByDepth[5].Levels[1].Short,0
TopByDepth[5].Levels[1].Full,16
TopByDepth[5].Levels[1].Value,0
TopByDepth[5].Levels[1].Size,8512
TopByDepth[5].Levels[2].Short,0
TopByDepth[5].Levels[2].Full,256
TopByDepth[5].Levels[2].Value,0
TopByDepth[5].Levels[2].Size,136192
TopByDepth[5].Levels[3].Short,0
TopByDepth[5].Levels[3].Full,4096
TopByDepth[5].Levels[3].Value,0
TopByDepth[5].Levels[3].Size,2179072
TopByDepth[5].Levels[4].Short,0
TopByDepth[5].Levels[4].Full,65536
TopByDepth[5].Levels[4].Value,0
TopByDepth[5].Levels[4].Size,34865152
TopByDepth[5].Levels[5].Short,10
TopByDepth[5].Levels[5].Full,1048566
TopByDepth[5].Levels[5].Value,0
TopByDepth[5].Levels[5].Size,347529764
TopByDepth[5].Levels[6].Short,6345221
TopByDepth[5].Levels[6].Full,3863872
TopByDepth[5].Levels[6].Value,8
TopByDepth[5].Levels[6].Size,569109949
TopByDepth[5].Levels[7].Short,8691579
TopByDepth[5].Levels[7].Full,426616
TopByDepth[5].Levels[7].Value,6161871
TopByDepth[5].Levels[7].Size,313774813
TopByDepth[5].Levels[8].Short,858975
TopByDepth[5].Levels[8].Full,17359
TopByDepth[5].Levels[8].Value,8675664
TopByDepth[5].Levels[8].Size,28147240
TopByDepth[5].Levels[9].Short,34731
TopByDepth[5].Levels[9].Full,93
TopByDepth[5].Levels[9].Value,858884
TopByDepth[5].Levels[9].Size,7341
TopByDepth[5].Levels[10].Short,186
TopByDepth[5].Levels[10].Full,0
TopByDepth[5].Levels[10].Value,34731
TopByDepth[5].Levels[10].Size,0
TopByDepth[5].Levels[11].Short,0
TopByDepth[5].Levels[11].Full,0
TopByDepth[5].Levels[11].Value,186
